State,Latitude,Longditude,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,32.806671,-86.79113,"7,269,319","9,065,725",NA,"12,929,167","15,113,917","19,684,063","17,352,984","13,292,741","18,532,534","24,486,963","24,798,503","25,768,709","21,652,816","19,763,230","25,695,555","29,812,345"
Alaska,61.370716,-152.404419,"10,019,060","9,526,100",NA,"7,741,467","9,274,800","11,349,400","5,467,944","6,689,384","12,031,675","11,258,203","10,072,650","9,198,095","10,811,808","12,502,109","15,193,507","19,671,388"
Arizona,33.729759,-111.431221,"37,151,471","20,442,635",NA,"9,363,943","17,682,315","18,626,577","22,809,895","27,810,970","18,820,149","14,942,124","15,679,948","14,008,740","12,937,292","17,332,044","16,010,502","15,011,508"
Arkansas,34.969704,-92.373123,"4,869,648","7,658,199",NA,"11,465,214","14,446,084","14,705,327","15,518,374","16,518,947","14,994,903","16,642,711","17,242,823","15,891,579","16,325,049","21,098,863","19,921,168","9,908,767"
California,36.116203,-119.681564,"145,880,736","120,641,324",NA,"299,929,949","328,982,383","407,616,001","401,522,758","346,942,036","356,158,885","568,971,595","547,188,835","485,647,081","633,060,621","526,918,585","533,900,597","523,819,635"
Colorado,39.059811,-105.311104,"8,997,236","11,924,981",NA,"14,849,581","20,828,274","18,141,931","14,928,809","14,471,683","15,745,589","16,321,056","16,647,592","25,575,648","30,640,420","36,586,577","34,365,638","38,436,248"
Connecticut,41.597782,-72.755371,"19,209,064","29,285,710",NA,"28,559,052","40,065,786","39,192,091","40,017,523","41,023,368","47,405,244","55,816,528","49,460,236","55,586,487","54,492,430","57,241,037","58,810,853","55,050,702"
Delaware,39.318523,-75.507141,"2,812,102","2,611,108",NA,"1,683,562","2,389,720","2,609,902","4,635,720","4,729,141","2,243,868","2,199,635","2,694,787","3,267,034","3,856,775","3,826,318","3,598,156","3,338,773"
District of Columbia,38.897438,-77.026817,"1,173,076","2,009,000",NA,"487,411","696,198","1,221,108","2,018,447","1,848,800","3,136,271","3,216,073","4,059,615","3,724,444","4,632,564","4,222,412","5,860,668","8,128,666"
Florida,27.766279,-81.686783,"42,329,624","51,968,573",NA,"66,513,756","120,848,726","150,764,438","136,706,540","118,781,266","157,004,903","191,598,669","156,057,854","201,901,742","186,499,418","170,508,724","184,600,202","178,360,429"
Georgia,33.040619,-83.643074,"10,620,188","4,886,946",NA,"6,662,887","8,923,795","11,690,663","12,820,412","12,697,846","11,776,221","10,052,848","13,093,428","14,043,200","18,120,602","18,875,484","15,877,238","18,798,826"
Hawaii,21.094318,-157.498337,"12,067,849","22,643,330",NA,"13,976,364","14,233,186","13,103,983","11,145,520","13,094,794","13,125,455","11,520,961","18,032,316","11,414,756","12,981,754","7,325,591","11,122,545","10,315,823"
Idaho,44.240459,-114.478828,"2,280,873","2,739,006",NA,"8,552,058","9,059,568","9,366,052","11,785,529","12,929,174","12,862,935","12,935,976","14,501,235","15,029,122","15,690,791","17,828,263","21,882,976","18,210,054"
